UID          PID    PPID  C STIME TTY          TIME CMD
syslog      1152       1  0 13:22 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
nvidia-+    1181       1  0 13:22 ?        00:00:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
root        1269       1  0 13:22 ?        00:00:00 /usr/sbin/ModemManager
root        1389       1  0 13:22 ?        00:00:00 /usr/sbin/cupsd -l
root        1392       1  0 13:22 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1412       1  0 13:22 ?        00:00:00 /usr/sbin/gdm3
rtkit       1514       1  0 13:22 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1586       2  0 13:22 ?        00:00:00 [krfcommd]
colord      1658       1  0 13:22 ?        00:00:00 /usr/libexec/colord
root        1722       1  0 13:22 ?        00:00:00 /usr/libexec/upowerd
cups-br+    2017       1  0 13:22 ?        00:00:00 /usr/sbin/cups-browsed
kernoops    2019       1  0 13:22 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    2022       1  0 13:22 ?        00:00:00 /usr/sbin/kerneloops
root        2092    1412  0 13:23 ?        00:00:00 gdm-session-worker [pam/gdm-password]
subhro      2104       1  0 13:23 ?        00:00:00 /usr/lib/systemd/systemd --user
subhro      2110    2104  0 13:23 ?        00:00:00 (sd-pam)
subhro      2119    2104  0 13:23 ?        00:00:02 /usr/bin/pipewire
subhro      2120    2104  0 13:23 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
subhro      2124    2104  0 13:23 ?        00:00:01 /usr/bin/wireplumber
subhro      2125    2104  0 13:23 ?        00:00:00 /usr/bin/pipewire-pulse
subhro      2127    2104  0 13:23 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
subhro      2140    2104  0 13:23 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
subhro      2189    2104  0 13:23 ?        00:00:00 /usr/libexec/xdg-document-portal
subhro      2193    2104  0 13:23 ?        00:00:00 /usr/libexec/xdg-permission-store
root        2200    2189  0 13:23 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
subhro      2224    2092  0 13:23 tty2     00:00:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
subhro      2234    2224  4 13:23 tty2     00:05:03 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
subhro      2285    2224  0 13:24 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
subhro      2408    2104  0 13:24 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
subhro      2415    2408  0 13:24 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
subhro      2421    2104  0 13:24 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
subhro      2422    2104  0 13:24 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
subhro      2436    2104  0 13:24 ?        00:00:00 /usr/libexec/gvfsd
subhro      2444    2104  0 13:24 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
subhro      2447    2104  0 13:24 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
subhro      2478    2104  4 13:24 ?        00:04:50 /usr/bin/gnome-shell
root        2508       2  0 13:24 ?        00:00:00 [nvidia-drm/timeline-9]
subhro      2509    2478  0 13:24 ?        00:00:08 /usr/libexec/mutter-x11-frames
subhro      2512    2104  0 13:24 ?        00:00:02 /usr/libexec/at-spi2-registryd --use-gnome-session
subhro      2536    2104  0 13:24 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
subhro      2546    2104  0 13:24 ?        00:00:00 /usr/libexec/evolution-source-registry
subhro      2548    2104  0 13:24 ?        00:00:00 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
subhro      2570    2104  0 13:24 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
subhro      2585    2104  0 13:24 ?        00:00:14 /usr/bin/ibus-daemon --panel disable --xim
subhro      2586    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-a11y-settings
subhro      2588    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-color
subhro      2590    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-datetime
subhro      2593    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-housekeeping
subhro      2596    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-keyboard
subhro      2597    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-media-keys
subhro      2606    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-power
subhro      2608    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-print-notifications
subhro      2610    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-rfkill
subhro      2612    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
subhro      2618    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-sharing
subhro      2622    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-smartcard
subhro      2632    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-sound
subhro      2643    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-wacom
subhro      2647    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-xsettings
subhro      2663    2104  0 13:24 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
subhro      2694    2447  0 13:24 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
subhro      2712    2447  0 13:24 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
subhro      2718    2585  0 13:24 ?        00:00:00 /usr/libexec/ibus-memconf
subhro      2720    2585  0 13:24 ?        00:00:04 /usr/libexec/ibus-extension-gtk3
subhro      2724    2104  0 13:24 ?        00:00:00 /usr/libexec/goa-daemon
subhro      2728    2104  0 13:24 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
subhro      2739    2104  0 13:24 ?        00:00:00 /usr/libexec/ibus-portal
subhro      2811    2104  0 13:24 ?        00:00:00 /usr/libexec/gsd-printer
subhro      2828    2104  0 13:24 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
subhro      2835    2104  0 13:24 ?        00:00:00 /usr/libexec/goa-identity-service
subhro      2874    2104  0 13:24 ?        00:00:00 /usr/libexec/evolution-calendar-factory
subhro      2875    2104  0 13:24 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
subhro      2879    2548  0 13:24 ?        00:00:02 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
subhro      2889    2104  0 13:24 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
subhro      2905    2104  0 13:24 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
subhro      2919    2104  0 13:24 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
subhro      2941    2104  0 13:24 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
subhro      2964    2104  0 13:24 ?        00:00:01 /usr/libexec/tracker-miner-fs-3
subhro      2982    2585  0 13:24 ?        00:00:03 /usr/libexec/ibus-engine-simple
subhro      3015    2104  0 13:24 ?        00:00:00 /usr/libexec/dconf-service
subhro      3034    2436  0 13:24 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.25 /org/gtk/gvfs/exec_spaw/0
subhro      3062    2104  0 13:24 ?        00:00:00 /usr/libexec/xdg-desktop-portal
subhro      3068    2104  0 13:24 ?        00:00:07 /usr/libexec/xdg-desktop-portal-gnome
subhro      3082    2104  0 13:24 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
subhro      3100    2478  0 13:24 ?        00:00:03 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
subhro      3147    2104  0 13:24 ?        00:00:00 /usr/libexec/gvfsd-metadata
subhro      3406    2478  0 13:24 ?        00:00:00 /bin/bash /usr/bin/brave-browser-stable
subhro      3412    3406  0 13:24 ?        00:00:00 cat
subhro      3413    3406  0 13:24 ?        00:00:00 cat
subhro      3414    3406  0 13:24 ?        00:01:06 /opt/brave.com/brave/brave
subhro      3416    2104  0 13:24 ?        00:00:00 /opt/brave.com/brave/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/subhro/.config/BraveSoftware/Brave-Browser/Crash Reports --url=https://cr.brave.com --annotation=lsb-release=Ubuntu 24.04.3 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=143.1.85.120 --initial-client-fd=5 --shared-client-connection
subhro      3418    2104  0 13:24 ?        00:00:00 /opt/brave.com/brave/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/subhro/.config/BraveSoftware/Brave-Browser/Crash Reports --url=https://cr.brave.com --annotation=lsb-release=Ubuntu 24.04.3 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=143.1.85.120 --initial-client-fd=4 --shared-client-connection
subhro      3424    3414  0 13:24 ?        00:00:00 /opt/brave.com/brave/brave --type=zygote --no-zygote-sandbox --crashpad-handler-pid=3416 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
subhro      3425    3414  0 13:24 ?        00:00:00 /opt/brave.com/brave/brave --type=zygote --crashpad-handler-pid=3416 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
subhro      3427    3425  0 13:24 ?        00:00:00 /opt/brave.com/brave/brave --type=zygote --crashpad-handler-pid=3416 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
subhro      3453    3424  1 13:24 ?        00:01:58 /opt/brave.com/brave/brave --type=gpu-process --ozone-platform=x11 --crashpad-handler-pid=3416 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAYAAAAAAAAABgAAAAAAAAAAQAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --metrics-shmem-handle=4,i,16172804893602805531,16350306074831998214,262144 --field-trial-handle=3,i,6206807780194701120,11986904053232475309,262144 --variations-seed-version=main@49059dc92039a967a3343fffb32c10ab481ef30b --trace-process-track-uuid=3190708988185955192
subhro      3455    3414  0 13:24 ?        00:00:25 /opt/brave.com/brave/brave --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=3416 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,4928448099012662257,3301292729228387031,524288 --field-trial-handle=3,i,6206807780194701120,11986904053232475309,262144 --variations-seed-version=main@49059dc92039a967a3343fffb32c10ab481ef30b --trace-process-track-uuid=3190708989122997041
subhro      3470    3427  0 13:24 ?        00:00:00 /opt/brave.com/brave/brave --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --crashpad-handler-pid=3416 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,1356320949889582344,786344650282146483,524288 --field-trial-handle=3,i,6206807780194701120,11986904053232475309,262144 --variations-seed-version=main@49059dc92039a967a3343fffb32c10ab481ef30b --trace-process-track-uuid=3190708990060038890
